,MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0,60,8450,7,5,18,196.0,706.0,150.0,856.0,856,1710,8,0.1,2.0,548.0,0.1,61.0,208500
1,20,9600,6,8,45,0.1,978.0,284.0,1262.0,1262,1262,6,1.0,2.0,460.0,298.0,0.1,181500
2,60,11250,7,5,20,162.0,486.0,434.0,920.0,920,1786,6,1.0,2.0,608.0,0.1,42.0,223500
3,70,9550,7,5,106,0.1,216.0,540.0,756.0,961,1717,7,1.0,3.0,642.0,0.1,35.0,140000
4,60,14260,8,5,21,350.0,655.0,490.0,1145.0,1145,2198,9,1.0,3.0,836.0,192.0,84.0,250000
5,50,14115,5,5,28,0.1,732.0,64.0,796.0,796,1362,5,0.1,2.0,480.0,40.0,30.0,143000
6,20,10084,8,5,17,186.0,1369.0,317.0,1686.0,1694,1694,7,1.0,2.0,636.0,255.0,57.0,307000
7,60,10382,7,6,48,240.0,859.0,216.0,1107.0,1107,2090,7,2.0,2.0,484.0,235.0,204.0,200000
8,50,6120,7,5,90,0.1,0.1,952.0,952.0,1022,1774,8,2.0,2.0,468.0,90.0,0.1,129900
9,190,7420,5,6,82,0.1,851.0,140.0,991.0,1077,1077,5,2.0,1.0,205.0,0.1,4.0,118000
10,20,11200,5,5,56,0.1,906.0,134.0,1040.0,1040,1040,5,0.1,1.0,384.0,0.1,0.1,129500
11,60,11924,9,5,16,286.0,998.0,177.0,1175.0,1182,2324,11,2.0,3.0,736.0,147.0,21.0,345000
12,20,12968,5,6,59,0.1,737.0,175.0,912.0,912,912,4,0.1,1.0,352.0,140.0,0.1,144000
13,20,10652,7,5,15,306.0,0.1,1494.0,1494.0,1494,1494,7,1.0,3.0,840.0,160.0,33.0,279500
14,20,10920,6,5,61,212.0,733.0,520.0,1253.0,1253,1253,5,1.0,1.0,352.0,0.1,213.0,157000
15,45,6120,7,8,92,0.1,0.1,832.0,832.0,854,854,5,0.1,2.0,576.0,48.0,112.0,132000
16,20,11241,6,7,51,180.0,578.0,426.0,1004.0,1004,1004,5,1.0,2.0,480.0,0.1,0.1,149000
17,90,10791,4,5,54,0.1,0.1,0.1,0.1,1296,1296,6,0.1,2.0,516.0,0.1,0.1,90000
18,20,13695,5,5,17,0.1,646.0,468.0,1114.0,1114,1114,6,0.1,2.0,576.0,0.1,102.0,159000
19,20,7560,5,6,63,0.1,504.0,525.0,1029.0,1339,1339,6,0.1,1.0,294.0,0.1,0.1,139000
20,60,14215,8,5,16,380.0,0.1,1158.0,1158.0,1158,2376,9,1.0,3.0,853.0,240.0,154.0,325300
21,45,7449,7,7,91,0.1,0.1,637.0,637.0,1108,1108,6,1.0,1.0,280.0,0.1,0.1,139400
22,20,9742,8,5,19,281.0,0.1,1777.0,1777.0,1795,1795,7,1.0,2.0,534.0,171.0,159.0,230000
23,120,4224,5,7,45,0.1,840.0,200.0,1040.0,1060,1060,6,1.0,2.0,572.0,100.0,110.0,129900
24,20,8246,5,8,53,0.1,188.0,204.0,1060.0,1060,1060,6,1.0,1.0,270.0,406.0,90.0,154000
25,20,14230,8,5,14,640.0,0.1,1566.0,1566.0,1600,1600,7,1.0,3.0,890.0,0.1,56.0,256300
26,20,7200,5,7,70,0.1,234.0,180.0,900.0,900,900,5,0.1,2.0,576.0,222.0,32.0,134800
27,20,11478,8,5,14,200.0,1218.0,486.0,1704.0,1704,1704,7,1.0,3.0,772.0,0.1,50.0,306000
28,20,16321,5,6,64,0.1,1277.0,207.0,1484.0,1600,1600,6,2.0,1.0,319.0,288.0,258.0,207500
29,30,6324,4,6,94,0.1,0.1,520.0,520.0,520,520,4,0.1,1.0,240.0,49.0,0.1,68500
30,70,8500,4,4,101,0.1,0.1,649.0,649.0,649,1317,6,0.1,1.0,250.0,0.1,54.0,40000
31,20,8544,5,6,55,0.1,0.1,1228.0,1228.0,1228,1228,6,0.1,1.0,271.0,0.1,65.0,149350
32,20,11049,8,5,14,0.1,0.1,1234.0,1234.0,1234,1234,7,0.1,2.0,484.0,0.1,30.0,179900
33,20,10552,5,5,62,0.1,1018.0,380.0,1398.0,1700,1700,6,1.0,2.0,447.0,0.1,38.0,165500
34,120,7313,9,5,16,246.0,1153.0,408.0,1561.0,1561,1561,6,1.0,2.0,556.0,203.0,47.0,277500
35,60,13418,8,5,17,132.0,0.1,1117.0,1117.0,1132,2452,9,1.0,3.0,691.0,113.0,32.0,309000
36,20,10859,5,5,27,0.1,0.1,1097.0,1097.0,1097,1097,6,0.1,2.0,672.0,392.0,64.0,145000
37,20,8532,5,6,67,650.0,1213.0,84.0,1297.0,1297,1297,5,1.0,2.0,498.0,0.1,0.1,153000
38,20,7922,5,7,68,0.1,731.0,326.0,1057.0,1057,1057,5,0.1,1.0,246.0,0.1,52.0,109000
39,90,6040,4,5,66,0.1,0.1,0.1,0.1,1152,1152,6,0.1,0.1,0.1,0.1,0.1,82000
40,20,8658,6,5,56,101.0,643.0,445.0,1088.0,1324,1324,6,1.0,2.0,440.0,0.1,138.0,160000
41,20,16905,5,6,62,0.1,967.0,383.0,1350.0,1328,1328,5,2.0,1.0,308.0,0.1,104.0,170000
42,85,9180,5,7,38,0.1,747.0,0.1,840.0,884,884,5,0.1,2.0,504.0,240.0,0.1,144000
43,20,9200,5,6,46,0.1,280.0,167.0,938.0,938,938,5,0.1,1.0,308.0,145.0,0.1,130250
44,20,7945,5,6,62,0.1,179.0,465.0,1150.0,1150,1150,6,0.1,1.0,300.0,0.1,0.1,141000
45,120,7658,9,5,16,412.0,456.0,1296.0,1752.0,1752,1752,6,1.0,2.0,576.0,196.0,82.0,319900
46,50,12822,7,5,18,0.1,1351.0,83.0,1434.0,1518,2149,6,1.0,2.0,670.0,168.0,43.0,239686
47,20,11096,8,5,15,0.1,24.0,1632.0,1656.0,1656,1656,7,0.1,3.0,826.0,0.1,146.0,249700
48,190,4456,4,5,101,0.1,0.1,736.0,736.0,736,1452,8,0.1,0.1,0.1,0.1,0.1,113000
49,20,7742,5,7,55,0.1,763.0,192.0,955.0,955,955,6,0.1,1.0,386.0,0.1,0.1,127000
