MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
60,8450,7,5,18,196,706,150,856,856,1710,8,0,2,548,0,61,208500
20,9600,6,8,45,0,978,284,1262,1262,1262,6,1,2,460,298,0,181500
60,11250,7,5,20,162,486,434,920,920,1786,6,1,2,608,0,42,223500
70,9550,7,5,106,0,216,540,756,961,1717,7,1,3,642,0,35,140000
60,14260,8,5,21,350,655,490,1145,1145,2198,9,1,3,836,192,84,250000
50,14115,5,5,28,0,732,64,796,796,1362,5,0,2,480,40,30,143000
20,10084,8,5,17,186,1369,317,1686,1694,1694,7,1,2,636,255,57,307000
60,10382,7,6,48,240,859,216,1107,1107,2090,7,2,2,484,235,204,200000
50,6120,7,5,90,0,0,952,952,1022,1774,8,2,2,468,90,0,129900
190,7420,5,6,82,0,851,140,991,1077,1077,5,2,1,205,0,4,118000
20,11200,5,5,56,0,906,134,1040,1040,1040,5,0,1,384,0,0,129500
60,11924,9,5,16,286,998,177,1175,1182,2324,11,2,3,736,147,21,345000
20,12968,5,6,59,0,737,175,912,912,912,4,0,1,352,140,0,144000
20,10652,7,5,15,306,0,1494,1494,1494,1494,7,1,3,840,160,33,279500
20,10920,6,5,61,212,733,520,1253,1253,1253,5,1,1,352,0,213,157000
45,6120,7,8,92,0,0,832,832,854,854,5,0,2,576,48,112,132000
20,11241,6,7,51,180,578,426,1004,1004,1004,5,1,2,480,0,0,149000
90,10791,4,5,54,0,0,0,0,1296,1296,6,0,2,516,0,0,90000
20,13695,5,5,17,0,646,468,1114,1114,1114,6,0,2,576,0,102,159000
20,7560,5,6,63,0,504,525,1029,1339,1339,6,0,1,294,0,0,139000
60,14215,8,5,16,380,0,1158,1158,1158,2376,9,1,3,853,240,154,325300
45,7449,7,7,91,0,0,637,637,1108,1108,6,1,1,280,0,0,139400
20,9742,8,5,19,281,0,1777,1777,1795,1795,7,1,2,534,171,159,230000
120,4224,5,7,45,0,840,200,1040,1060,1060,6,1,2,572,100,110,129900
20,8246,5,8,53,0,188,204,1060,1060,1060,6,1,1,270,406,90,154000
20,14230,8,5,14,640,0,1566,1566,1600,1600,7,1,3,890,0,56,256300
20,7200,5,7,70,0,234,180,900,900,900,5,0,2,576,222,32,134800
20,11478,8,5,14,200,1218,486,1704,1704,1704,7,1,3,772,0,50,306000
20,16321,5,6,64,0,1277,207,1484,1600,1600,6,2,1,319,288,258,207500
30,6324,4,6,94,0,0,520,520,520,520,4,0,1,240,49,0,68500
70,8500,4,4,101,0,0,649,649,649,1317,6,0,1,250,0,54,40000
20,8544,5,6,55,0,0,1228,1228,1228,1228,6,0,1,271,0,65,149350
20,11049,8,5,14,0,0,1234,1234,1234,1234,7,0,2,484,0,30,179900
20,10552,5,5,62,0,1018,380,1398,1700,1700,6,1,2,447,0,38,165500
120,7313,9,5,16,246,1153,408,1561,1561,1561,6,1,2,556,203,47,277500
60,13418,8,5,17,132,0,1117,1117,1132,2452,9,1,3,691,113,32,309000
20,10859,5,5,27,0,0,1097,1097,1097,1097,6,0,2,672,392,64,145000
20,8532,5,6,67,650,1213,84,1297,1297,1297,5,1,2,498,0,0,153000
20,7922,5,7,68,0,731,326,1057,1057,1057,5,0,1,246,0,52,109000
90,6040,4,5,66,0,0,0,0,1152,1152,6,0,0,0,0,0,82000
20,8658,6,5,56,101,643,445,1088,1324,1324,6,1,2,440,0,138,160000
20,16905,5,6,62,0,967,383,1350,1328,1328,5,2,1,308,0,104,170000
85,9180,5,7,38,0,747,0,840,884,884,5,0,2,504,240,0,144000
20,9200,5,6,46,0,280,167,938,938,938,5,0,1,308,145,0,130250
20,7945,5,6,62,0,179,465,1150,1150,1150,6,0,1,300,0,0,141000
120,7658,9,5,16,412,456,1296,1752,1752,1752,6,1,2,576,196,82,319900
50,12822,7,5,18,0,1351,83,1434,1518,2149,6,1,2,670,168,43,239686
20,11096,8,5,15,0,24,1632,1656,1656,1656,7,0,3,826,0,146,249700
190,4456,4,5,101,0,0,736,736,736,1452,8,0,0,0,0,0,113000
20,7742,5,7,55,0,763,192,955,955,955,6,0,1,386,0,0,127000
60,13869,6,6,24,0,182,612,794,794,1470,6,0,2,388,0,75,177000
50,6240,6,6,87,0,0,816,816,816,1176,6,1,2,528,112,0,114500
90,8472,5,5,58,0,104,0,816,816,816,5,0,2,516,106,0,110000
20,50271,9,5,40,0,1810,32,1842,1842,1842,5,1,3,894,857,72,385000
80,7134,5,5,66,0,384,0,384,1360,1360,6,1,2,572,0,50,130000
20,10175,6,5,57,272,490,935,1425,1425,1425,7,1,2,576,0,0,180500
160,2645,8,5,22,456,649,321,970,983,1739,7,0,2,480,115,0,172500
60,11645,7,5,17,0,0,860,860,860,1720,7,0,2,565,0,70,196500
60,13682,10,5,15,1031,0,1410,1410,1426,2945,10,1,3,641,192,0,438780
20,7200,5,7,49,0,632,148,780,780,780,4,0,1,352,196,0,124900
20,13072,6,5,17,0,941,217,1158,1158,1158,5,0,2,576,0,50,158000
75,7200,5,7,101,0,0,530,530,581,1111,6,0,1,288,0,0,101000
120,6442,8,5,15,178,24,1346,1370,1370,1370,6,1,2,484,120,49,202500
70,10300,7,6,100,0,0,576,576,902,1710,9,0,2,480,12,11,140000
60,9375,7,5,24,573,739,318,1057,1057,2034,8,0,2,645,576,36,219500
60,9591,8,5,17,344,0,1143,1143,1143,2473,9,1,3,852,192,151,317000
20,19900,7,5,51,287,912,1035,1947,2207,2207,7,1,2,576,301,0,180000
20,10665,7,5,18,167,1013,440,1453,1479,1479,7,0,2,558,144,29,226000
30,4608,4,6,76,0,0,747,747,747,747,4,0,1,220,0,0,80000
50,15593,7,4,68,0,603,701,1304,1304,2287,7,1,2,667,0,21,225000
20,13651,7,6,48,1115,1880,343,2223,2223,2223,8,2,2,516,300,0,244000
20,7599,4,6,39,0,565,280,845,845,845,4,0,2,360,0,0,129500
60,10141,7,5,23,40,0,832,832,885,1718,7,1,2,427,0,94,185000
20,10200,5,7,67,104,320,404,1086,1086,1086,6,0,2,490,0,0,144900
50,5790,3,6,106,0,0,840,840,840,1605,8,0,1,379,0,0,107400
180,1596,4,5,48,0,462,0,462,526,988,5,0,1,297,120,101,91000
20,8475,4,7,65,0,228,724,952,952,952,4,0,1,283,0,0,135750
50,8635,5,5,73,0,336,295,672,1072,1285,6,0,1,240,0,0,127000
90,10778,4,5,53,0,0,1768,1768,1768,1768,8,0,0,0,0,0,136500
50,10440,5,6,111,0,0,440,440,682,1230,5,0,2,440,74,0,110000
60,13000,6,6,53,576,448,448,896,1182,2142,8,1,1,509,0,72,193500
120,4500,6,5,23,443,1201,36,1237,1337,1337,5,0,2,405,0,199,153500
20,10206,8,5,14,468,33,1530,1563,1563,1563,6,1,3,758,144,99,245000
20,8892,5,5,61,66,0,1065,1065,1065,1065,6,0,2,461,74,0,126500
80,8530,7,5,26,22,0,384,384,804,1474,7,1,2,400,120,72,168500
60,16059,8,5,30,284,0,1288,1288,1301,2417,9,1,2,462,127,82,260000
60,11911,6,5,16,0,0,684,684,684,1560,6,1,2,400,100,38,174000
160,3951,6,5,12,76,0,612,612,612,1224,4,0,2,528,0,234,164500
50,8470,3,2,106,0,0,1013,1013,1013,1526,6,0,0,0,0,0,85000
20,8070,4,5,27,0,588,402,990,990,990,5,0,0,0,0,0,123600
20,7200,4,5,71,0,0,0,0,1040,1040,4,0,2,420,0,29,109900
20,8500,5,3,60,203,600,635,1235,1235,1235,6,0,2,480,0,0,98600
30,13360,5,7,100,0,713,163,876,964,964,5,0,2,432,0,0,163500
190,7200,6,6,111,0,1046,168,1214,1260,2291,9,1,2,506,0,0,133900
60,9337,6,5,24,0,648,176,824,905,1786,7,0,2,684,0,162,204750
60,9765,6,8,28,68,310,370,680,680,1470,6,1,2,420,232,63,185000
20,10264,7,5,22,183,1162,426,1588,1588,1588,6,0,2,472,158,29,214000
20,10921,4,5,56,48,520,440,960,960,960,6,0,1,432,120,0,94750
30,10625,5,5,101,0,108,350,458,835,835,5,0,1,366,0,0,83000
20,9320,4,5,62,0,569,381,950,1225,1225,6,0,0,0,352,0,128950
20,10603,6,7,44,28,1200,410,1610,1610,1610,6,2,2,480,168,68,205000
60,9206,6,5,36,336,0,741,741,977,1732,7,1,2,476,192,46,178000
90,7018,5,5,42,0,0,0,0,1535,1535,8,0,2,410,0,0,118964
20,10402,7,5,12,0,0,1226,1226,1226,1226,6,0,3,740,0,36,198900
50,7758,7,4,90,600,224,816,1040,1226,1818,7,2,1,240,0,0,169500
60,9375,8,5,18,768,0,1053,1053,1053,1992,9,1,2,648,140,45,250000
30,10800,4,7,136,0,0,641,641,1047,1047,6,0,1,273,0,0,100000
20,6000,5,5,73,0,104,516,789,789,789,5,0,1,250,0,0,115000
50,8500,5,7,102,0,0,793,793,997,1517,7,0,0,0,0,0,115000
20,11751,6,6,44,480,705,1139,1844,1844,1844,7,1,2,546,0,122,190000
50,9525,6,4,67,0,444,550,994,1216,1855,7,0,1,325,182,0,136900
80,7750,7,5,21,0,250,134,384,774,1430,7,1,2,400,180,0,180000
60,9965,7,5,14,220,984,280,1264,1282,2696,10,1,3,792,120,184,383970
20,21000,6,5,68,184,35,905,1809,2259,2259,7,2,2,450,166,120,217000
70,7259,6,8,76,0,774,104,1028,1436,2320,9,1,1,180,224,0,259500
160,3230,6,5,22,1129,419,310,729,729,1458,5,1,2,440,0,32,176000
20,11616,5,5,59,116,170,252,1092,1092,1092,6,1,1,288,0,20,139000
20,8536,5,5,15,0,0,1125,1125,1125,1125,5,0,2,430,80,64,155000
60,12376,7,5,31,0,1470,203,1673,1699,3222,11,2,3,594,367,0,320000
60,8461,6,5,16,0,0,728,728,728,1456,8,1,2,390,0,24,163990
80,21453,6,5,52,0,938,0,938,988,988,4,2,2,540,0,130,180000
50,6060,4,5,82,0,0,732,732,772,1123,4,0,1,264,0,0,100000
20,9464,6,7,63,135,570,510,1080,1080,1080,5,0,1,288,0,0,136000
120,7892,6,5,28,0,300,899,1199,1199,1199,5,0,2,530,0,63,153900
20,17043,6,5,42,0,0,1362,1362,1586,1586,7,1,2,435,192,0,181000
190,6780,6,8,86,0,490,30,520,520,754,5,0,0,0,53,0,84500
120,4928,6,5,45,0,120,958,1078,958,958,5,1,2,440,0,205,128000
45,4388,5,7,91,0,116,556,672,840,840,5,1,0,0,0,0,87000
60,7590,6,5,55,266,512,148,660,660,1348,6,1,2,453,188,108,155000
20,8973,5,7,63,85,567,413,1008,1053,1053,6,0,2,750,0,80,150000
60,14200,7,6,55,309,445,479,924,1216,2157,8,2,2,487,105,66,226000
60,12224,6,5,21,40,695,297,992,1022,2054,7,1,2,390,24,48,244000
20,7388,5,6,62,0,405,658,1063,1327,1327,7,0,2,624,0,0,150750
20,6853,8,5,20,136,1005,262,1267,1296,1296,6,0,2,471,192,25,220000
20,10335,5,6,53,0,570,891,1461,1721,1721,7,1,2,440,0,96,180000
20,10400,7,6,51,288,0,1304,1304,1682,1682,7,1,2,530,98,0,174000
20,10355,5,5,54,196,695,519,1214,1214,1214,5,1,1,318,0,111,143000
90,11070,7,5,33,70,0,1907,1907,1959,1959,9,0,3,766,0,0,171000
60,9066,8,5,22,320,668,336,1004,1004,1852,7,2,3,660,224,106,230000
60,15426,6,5,24,0,821,107,928,928,1764,7,0,2,470,276,99,231500
20,10500,4,5,50,0,432,432,864,864,864,5,1,0,0,0,0,115000
20,11645,7,5,16,0,1300,434,1734,1734,1734,7,0,2,660,160,24,260000
50,8520,5,4,69,0,507,403,910,910,1385,6,0,2,720,0,0,166000
