ап1,MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0,60,8450,7,5,18,196,706,150,856,856,1710,8,0.1,2,548,0.1,61,208500
1,20,9600,6,8,45,0.1,978,284,1262,1262,1262,6,1,2,460,298,0.1,181500
2,60,11250,7,5,20,162,486,434,920,920,1786,6,1,2,608,0.1,42,223500
3,70,9550,7,5,106,0.1,216,540,756,961,1717,7,1,3,642,0.1,35,140000
4,60,14260,8,5,21,350,655,490,1145,1145,2198,9,1,3,836,192,84,250000
5,50,14115,5,5,28,0.1,732,64,796,796,1362,5,0.1,2,480,40,30,143000
6,20,10084,8,5,17,186,1369,317,1686,1694,1694,7,1,2,636,255,57,307000
7,60,10382,7,6,48,240,859,216,1107,1107,2090,7,2,2,484,235,204,200000
8,50,6120,7,5,90,0.1,0.1,952,952,1022,1774,8,2,2,468,90,0.1,129900
9,190,7420,5,6,82,0.1,851,140,991,1077,1077,5,2,1,205,0.1,4,118000
10,20,11200,5,5,56,0.1,906,134,1040,1040,1040,5,0.1,1,384,0.1,0.1,129500
11,60,11924,9,5,16,286,998,177,1175,1182,2324,11,2,3,736,147,21,345000
12,20,12968,5,6,59,0.1,737,175,912,912,912,4,0.1,1,352,140,0.1,144000
13,20,10652,7,5,15,306,0.1,1494,1494,1494,1494,7,1,3,840,160,33,279500
14,20,10920,6,5,61,212,733,520,1253,1253,1253,5,1,1,352,0.1,213,157000
15,45,6120,7,8,92,0.1,0.1,832,832,854,854,5,0.1,2,576,48,112,132000
16,20,11241,6,7,51,180,578,426,1004,1004,1004,5,1,2,480,0.1,0.1,149000
17,90,10791,4,5,54,0.1,0.1,0.1,0.1,1296,1296,6,0.1,2,516,0.1,0.1,90000
18,20,13695,5,5,17,0.1,646,468,1114,1114,1114,6,0.1,2,576,0.1,102,159000
